event_id,source_id,page_reference,quote
7792,1597611,https://www.wikidata.org/wiki/Q114705397,
7793,1600557,https://www.wikidata.org/wiki/Q114840683,
7794,1605804,https://www.wikidata.org/wiki/Q115249753,
7795,1606457,https://www.wikidata.org/wiki/Q115331854,
7796,1608066,https://www.wikidata.org/wiki/Q115514260,
7797,1613902,https://www.wikidata.org/wiki/Q115754827,
7798,1614704,https://www.wikidata.org/wiki/Q115788928,
7799,1615502,https://www.wikidata.org/wiki/Q115815759,
7800,1615879,https://www.wikidata.org/wiki/Q115821147,
7842,1675521,https://www.wikidata.org/wiki/Q120997780,
7808,1644477,https://www.wikidata.org/wiki/Q117252964,
7809,1647361,https://www.wikidata.org/wiki/Q117287098,
7811,1648483,https://www.wikidata.org/wiki/Q117361302,
7812,1649853,https://www.wikidata.org/wiki/Q117478735,
7813,1650043,https://www.wikidata.org/wiki/Q117538789,
7814,1650321,https://www.wikidata.org/wiki/Q117661848,
7815,1651817,https://www.wikidata.org/wiki/Q117829142,
7817,1654680,https://www.wikidata.org/wiki/Q118247392,
7818,1654746,https://www.wikidata.org/wiki/Q118255738,
7819,1655001,https://www.wikidata.org/wiki/Q118314789,
7820,1655002,https://www.wikidata.org/wiki/Q118314791,
7821,1655012,https://www.wikidata.org/wiki/Q118315842,
7822,1656219,https://www.wikidata.org/wiki/Q118536850,
7823,1656878,https://www.wikidata.org/wiki/Q118697661,
7824,1657951,https://www.wikidata.org/wiki/Q118905388,
7825,1658857,https://www.wikidata.org/wiki/Q118929917,
7826,1658858,https://www.wikidata.org/wiki/Q118929924,
7827,1658906,https://www.wikidata.org/wiki/Q118946363,
7829,1658999,https://www.wikidata.org/wiki/Q118956745,
7830,1659840,https://www.wikidata.org/wiki/Q119167123,
7831,1659884,https://www.wikidata.org/wiki/Q119185133,
7832,1660709,https://www.wikidata.org/wiki/Q119442920,
7833,1660711,https://www.wikidata.org/wiki/Q119443120,
7834,1666152,https://www.wikidata.org/wiki/Q119860532,
7835,1666697,https://www.wikidata.org/wiki/Q120024444,
7836,1666753,https://www.wikidata.org/wiki/Q120052746,
7837,1667226,https://www.wikidata.org/wiki/Q120176362,
7839,1673119,https://www.wikidata.org/wiki/Q120682470,
7840,1673825,https://www.wikidata.org/wiki/Q120776476,
7841,1673887,https://www.wikidata.org/wiki/Q120785951,
7848,1677407,https://www.wikidata.org/wiki/Q121296604,
7849,1677426,https://www.wikidata.org/wiki/Q121297662,
7850,1677828,https://www.wikidata.org/wiki/Q121335444,
7851,1678548,https://www.wikidata.org/wiki/Q121408251,
7852,1679519,https://www.wikidata.org/wiki/Q121610656,
7853,1679975,https://www.wikidata.org/wiki/Q121746308,
7854,1680167,https://www.wikidata.org/wiki/Q121775294,
7855,1680400,https://www.wikidata.org/wiki/Q121826772,
7856,1680417,https://www.wikidata.org/wiki/Q121832741,
7857,1680538,https://www.wikidata.org/wiki/Q121853731,
7858,1682768,https://www.wikidata.org/wiki/Q122238602,
7859,1685017,https://www.wikidata.org/wiki/Q122423513,
7860,1690888,https://www.wikidata.org/wiki/Q122705557,
7862,1695403,https://www.wikidata.org/wiki/Q123152684,
7863,1697666,https://www.wikidata.org/wiki/Q123310379,
7864,1697930,https://www.wikidata.org/wiki/Q123335056,
7865,1700910,https://www.wikidata.org/wiki/Q123501700,
7866,1701753,https://www.wikidata.org/wiki/Q123569533,
7867,1702574,https://www.wikidata.org/wiki/Q123663440,
7868,1703314,https://www.wikidata.org/wiki/Q123700172,
7869,1705366,https://www.wikidata.org/wiki/Q123758137,
7870,1705794,https://www.wikidata.org/wiki/Q123824645,
7871,1710170,https://www.wikidata.org/wiki/Q123906896,
7872,1710489,https://www.wikidata.org/wiki/Q123925308,
7873,1710996,https://www.wikidata.org/wiki/Q123989971,
7874,1712817,https://www.wikidata.org/wiki/Q124153606,
7875,1712914,https://www.wikidata.org/wiki/Q124156564,
7876,1713483,https://www.wikidata.org/wiki/Q124247757,
