id,wikidata_id,name,name_ko,latitude,longitude,location_type,parent_location_id,created_at,updated_at,name_original,modern_name,country,region,is_region,coords_source,canonical_id,hierarchy_level,modern_parent_id,historical_parent_id,valid_from,valid_until,parent_id,display_level,display_zoom_min,display_zoom_max,description,description_ko,description_ja,name_ja,description_source,description_source_url,wikipedia_url,geocoded_by,geocoded_at,connection_count,type,is_light
522813,Q639014,Kartal,,40.9063889,29.2111111,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
522827,Q641098,Balasore,,21.5033333,86.9250000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
522830,Q641390,Breskens,,51.4000000,3.5500000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
522887,Q652101,Wicklow,위클로,52.9779000,-6.0330000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
522940,Q660057,Fanas,,46.9833333,9.6500000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
522950,Q660786,Vizinga,,61.0750000,50.1030556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
523137,Q682861,Bozeat,,52.2173000,-0.6621000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
523189,Q691566,Hetton-le-Hole,,54.8208000,-1.4488000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
523190,Q691679,Želva,,55.2189000,25.0969000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
523214,Q696605,Larkana,라르카나,27.5600000,68.2263889,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
