event_id,person_id,role,description
19711,1640042,conflict,
16785,1640053,conflict,
16742,1640053,conflict,
16785,1640061,conflict,
22478,1640139,conflict,
20660,1640139,conflict,
17819,1640139,conflict,
16742,1640175,conflict,
20008,1640194,conflict,
16742,1640246,conflict,
16755,1640325,conflict,
25287,1640325,conflict,
8554,1640492,conflict,
16750,1640591,conflict,
20261,1640591,conflict,
19596,1640591,conflict,
22540,1640602,conflict,
25511,1640602,conflict,
16764,1640602,conflict,
22691,1640602,conflict,
21036,1640707,participant_in,
16792,1640869,conflict,
16755,1640869,conflict,
13852,1640877,conflict,
8767,1640877,conflict,
16785,1640916,conflict,
11007,1640937,conflict,
16755,1640980,conflict,
8102,1640980,conflict,
13880,1640980,conflict,
25286,1641009,conflict,
19588,1641246,conflict,
19588,1641288,conflict,
19588,1641300,conflict,
19589,1641345,conflict,
25279,1641345,conflict,
13909,1641370,conflict,
16785,1641432,conflict,
5201,1641434,conflict,
16763,1641553,conflict,
14193,1641553,conflict,
5627,1641580,significant_event,
22526,1641746,conflict,
25309,1641829,conflict,
18855,1641864,conflict,
19588,1641946,conflict,
25303,1642049,conflict,
16785,1642049,conflict,
11032,1642049,conflict,
16785,1642055,conflict,
23187,1642143,conflict,
19588,1642180,conflict,
25407,1642190,conflict,
16859,1642190,conflict,
13997,1642190,conflict,
25598,1642190,conflict,
19588,1642264,conflict,
19588,1642269,conflict,
5201,1642563,conflict,
16785,1642589,conflict,
25286,1642616,conflict,
5758,1642657,conflict,
11068,1642657,conflict,
17024,1642657,conflict,
16909,1642696,conflict,
19588,1642709,conflict,
11300,1642812,conflict,
13888,1642905,conflict,
16755,1642909,conflict,
19665,1642909,conflict,
16785,1643003,conflict,
17765,1643068,conflict,
5245,1643068,conflict,
8555,1643194,conflict,
8723,1643194,conflict,
19665,1643218,conflict,
25286,1643218,conflict,
22512,1643264,conflict,
11066,1643301,conflict,
11116,1643301,conflict,
17066,1643301,conflict,
25478,1643301,conflict,
19613,1643301,conflict,
16843,1643301,conflict,
8490,1643301,participant_in,
17347,1643318,conflict,
19589,1643365,conflict,
16741,1643365,conflict,
14720,1643365,conflict,
16742,1643468,conflict,
22523,1643490,conflict,
8547,1643673,conflict,
19963,1643734,conflict,
5200,1643734,conflict,
16755,1643809,conflict,
20408,1643851,conflict,
19613,1643851,conflict,
11896,1643851,conflict,
16843,1643851,conflict,
14694,1643851,conflict,
17066,1643851,conflict,
6611,1643896,conflict,
26678,1643896,conflict,
23346,1643896,conflict,
10074,1643896,conflict,
5476,1643896,conflict,
18628,1643896,conflict,
11038,1643896,conflict,
17086,1643925,conflict,
8127,1643988,conflict,
22665,1644089,conflict,
22448,1644295,conflict,
16755,1644512,conflict,
5194,1644512,conflict,
16792,1644515,conflict,
16755,1644515,conflict,
5194,1644515,conflict,
19604,1644598,conflict,
16755,1644646,conflict,
22540,1644646,conflict,
22645,1644646,conflict,
25511,1644646,conflict,
13873,1644646,conflict,
16764,1644646,conflict,
8170,1644655,conflict,
16850,1644655,conflict,
11109,1644655,conflict,
7035,1644692,participant_in,
